"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"220","Bridges Academy of Beauty",1,0,NA,NA,NA,NA,NA,3,0,0,0,0,NA,NA,NA,NA
"221","Barstow Community College",2,1,636,4908,12819,NA,"26000",1,0.2049,0.0701,0.0124,0.1195,NA,NA,8603,8315
"222","Bay Vista College of Beauty",1,1,NA,NA,NA,NA,"15900",3,0,0,0,0,NA,NA,NA,NA
"223","Bethany University",3,0,18250,18250,28350,0.3659,"28000",2,0.5938,0.0962,0.0529,0.1803,0.4525,913,NA,5182
"224","Bethesda Christian University",3,1,7620,7620,19120,0.92,"PrivacySuppressed",2,0.0055,0,0,0,0.7379,NA,NA,3262
"225","Biola University",3,1,27744,27744,38702,0.7095,"36000",2,0,0,0,0,0.815,1286,NA,7422
"226","Brooks Institute",3,1,26820,26820,58535,0.4528,"22500",3,0.3426,0.0089,0.0434,0,0.5018,NA,NA,6136
"227","Brownson Technical School",1,1,NA,NA,NA,NA,"47600",3,0,0,0,0,NA,NA,NA,NA
"228","Bryan College",1,1,11260,11260,23901,NA,"30700",3,0.323,0.1442,0.0294,0.1917,NA,NA,NA,4057
"229","Butte College",1,1,804,5364,9648,NA,"22600",1,0.6497,0.0301,0.0587,0.1376,NA,NA,4734,8202
"230","Phillips Graduate Institute",4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6846
"231","California Institute of Integral Studies",3,1,NA,NA,NA,NA,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,6622
"232","Cabrillo College",2,1,774,6206,10640,NA,"26400",1,0.5886,0.0144,0.0397,0.2671,NA,NA,5616,7356
"233","California Baptist University",3,1,23266,23266,34776,0.5845,"33800",2,0.5697,0.0729,0.0367,0.1933,0.7382,1010,NA,6902
"234","California College of the Arts",3,1,33254,33254,45609,0.5,"26800",2,0.4611,0.0448,0.1703,0.1101,0.7487,NA,NA,5822
"235","University of California Hastings College of Law",4,1,NA,NA,NA,NA,"94700",1,NA,NA,NA,NA,NA,NA,NA,14758
"236","California Institute of Technology",3,1,34584,34584,48990,0.8895,"55700",2,0,0,0,0,0.1527,1514,NA,15310
"237","California Lutheran University",3,1,30230,30230,40789,0.6339,"38600",2,0.5887,0.0354,0.0478,0.1591,0.6224,1100,NA,8037
"238","California Polytechnic State University-San Luis Obispo",3,1,6498,17658,18978,0.7166,"49200",1,0,0,0,0,0.3334,1205,13842,8484
"239","Alliant International University",3,1,NA,NA,NA,0.2941,"49300",2,0,0,0,0,NA,NA,NA,7561
"240","California State University-Bakersfield",3,1,5091,16251,13574,0.3838,"37900",1,0,0,0,0,0.6084,889,5463,7938
"241","California State University-Stanislaus",3,1,4840,16000,13718,0.4955,"36100",1,0,0,0,0,0.6578,948,6077,7969
"242","California State University-San Bernardino",3,1,4839,15999,15194,0.4547,"37300",1,0,0,0,0,0.2408,894,7670,8314
"243","California State Polytechnic University-Pomona",3,1,4551,15711,13386,0.5293,"40200",1,0,0,0,0,0.528,1042,7301,8930
"244","California State University-Chico",3,1,5336,16496,17376,0.5797,"36900",1,0,0,0,0,0.8008,1014,12341,8300
